latitude	longitude	mag
32.1433	-117.602	3.2
39.4057	-122.1218	2.1
36.6185	-120.1387	2.3
34.1567	-116.8077	2.4
32.1468	-117.6073	3
38.809	-122.812	2
38.0653	-118.9367	2.1
36.1182	-117.6933	2.5
38.834	-122.8022	2.5
38.8343	-122.7948	2.7
37.1587	-121.551	2.4
37.7113	-122.5288	2.3
38.8	-122.8155	2.1
38.8408	-122.8292	2
34.0313	-117.2472	2.7
34.0845	-116.4748	2.1
37.7025	-119.409	2.3
32.8737	-115.9947	3.7
34.0757	-117.7895	2.2
33.6263	-116.757	2.3
35.6597	-118.4697	2
40.6103	-124.8747	2.9
38.8057	-122.7383	2.8
38.7605	-122.743	2.1
41.8653	-112.6803	2.4
37.8608	-122.212	2.3
37.5897	-118.8845	2.2
39.4313	-115.7728	2.25
32.9003	-116.2872	3.6
37.6395	-118.9507	2.1
37.2535	-121.637	2.4
32.8973	-116.2755	3.3
36.8283	-121.5617	2.4
37.3657	-118.4162	2.8
38.8168	-122.796	2.1
34.2123	-119.0523	2.1
43.9121	-113.7955	2.3
32.5798	-115.688	2.8
41.7178	-109.8507	3.1
37.1914	-114.8748	2.21
34.2225	-117.581	2.2
39.4395	-123.3807	2.2
40.3597	-124.229	2.2
33.5187	-115.8563	2
40.3658	-122.1783	2.2
40.4417	-124.507	2.2
40.4362	-124.539	2.2
37.8073	-121.9367	2
37.3383	-115.9994	2.05
38.7867	-122.7772	2.2
35.7478	-118.0315	2.4
33.5307	-115.8655	2.6
37.8088	-121.939	2
40.4363	-124.5478	2.2
38.8252	-122.799	2
40.4642	-121.5215	2
33.0573	-115.56	2.1
33.4278	-116.4478	2.5
35.5765	-118.5383	2
36.7562	-121.3497	2.8
40.1972	-121.036	2.4
32.8833	-116.2583	2
33.1508	-115.9765	2.2
33.3452	-116.3548	2.3
33.1738	-115.594	2
41.1242	-111.6405	2.2
38.8132	-122.7973	2
35.5767	-118.54	2.3
32.5083	-115.6437	2.1
35.0757	-118.3345	2.1
40.455	-123.4072	3.8
44.2445	-123.2515	2.1
32.0487	-115.0075	3.2
39.4226	-119.8661	2.22
38.6527	-119.426	2.95
40.3722	-125.1877	2.6
33.3022	-115.6657	2.1
35.6607	-118.4665	2.6
38.7995	-122.8112	2
40.5255	-124.4668	2.6
36.4672	-121.0467	2.3
40.5257	-124.8713	2.8
39.4305	-123.4077	2
34.2856	-110.3263	2.8
33.0552	-115.5532	2.1
35.8712	-116.749	2.8
35.941	-119.9013	2
37.9108	-121.9623	2
40.1438	-121.0553	2.1
36.1992	-112.1335	2.6
34.4512	-117.9588	2.2
35.5815	-118.5542	2.2
35.4858	-118.2857	2.1
33.463	-116.6093	2.5
33.4683	-116.6017	2.3
33.4608	-116.6035	3.4
35.748	-118.032	2
37.6403	-118.9408	2.2
35.748	-118.0315	2.2
35.5827	-118.5415	2
35.6598	-118.4707	2.5
39.8575	-121.9883	2.8
39.6192	-111.1535	2.1
33.5347	-118.3165	2.8
37.2662	-121.646	2.1
38.8275	-122.802	2.5
37.6017	-122.4522	2
37.8738	-121.987	2
40.1433	-123.1993	2.1
40.1503	-123.1993	2.3
32.2547	-115.2542	3.2
37.9082	-120.5137	2.1
36.1497	-118.071	2.1
39.3813	-123.2997	2.6
44.516	-115.8771	2.3
38.7945	-122.7543	2.2
34.0783	-117.7882	2.6
34.0955	-117.5062	2
33.3407	-116.3905	3.8
41.5332	-125.6543	2.1
36.1223	-117.692	2
40.3708	-121.7343	2
34.0817	-117.784	3.8
34.0817	-117.785	3.7
31.7887	-115.0182	2.9
34.667	-121.3952	2.4
38.355	-121.0418	2
38.8297	-122.7982	2.5
33.9323	-116.36	2.7
39.4187	-123.285	2
32.879	-116.2528	3.2
36.0398	-118.8695	2.3
39.2703	-123.2177	2
40.1605	-121.0778	2
35.072	-118.3342	2.2
40.1625	-121.0805	3
40.1553	-121.0828	3
39.602	-121.5682	2
36.2763	-120.4463	2.5
40.857	-123.2512	2.5
31.781	-115.027	2.8
37.3168	-122.1025	2.2
32.5903	-115.727	2.2
37.5105	-115.4841	3.66
35.5265	-120.835	2.2
40.1497	-121.053	2.4
40.9863	-123.4412	2.2
36.9683	-116.137	2.39
40.1898	-121.0635	2.8
34.0775	-117.7878	2
34.693	-116.27	2.5
34.6922	-116.2702	2
33.702	-117.4845	2
40.1395	-123.8495	2.1
36.1145	-117.7018	2.3
33.5027	-116.4548	2.6
39.5037	-123.3468	2
39.9453	-120.8465	2.4
32.4113	-115.2148	4.1
34.1832	-116.9532	2.5
40.7917	-124.3407	2.5
40.2458	-121.1872	2.2
33.9797	-118.3635	2
33.7915	-117.6348	2.7
38.8365	-122.7763	2
37.7167	-122.128	2
31.594	-115.5695	2.7
31.7723	-115.6993	2.8
39.2287	-122.7018	3.1
39.2202	-122.7128	2.2
39.233	-122.7038	2.1
39.2355	-122.7053	2.1
40.1637	-121.0567	2.2
37.4603	-118.8403	2.2
35.675	-119.9188	2
35.6735	-119.925	2
37.5977	-122.4537	2
33.8338	-116.8047	2
40.5578	-122.2692	2.1
37.5395	-121.9262	2.9
34.0743	-117.7907	2
35.9133	-117.696	2.2
40.1695	-121.0652	2
34.0772	-117.7867	2.6
38.8123	-122.8155	2.1
34.022	-117.2297	2
40.4178	-125.4287	2.7
37.9448	-122.064	2.4
37.9457	-122.0618	2
35.8518	-120.4002	3
40.1748	-121.0622	2
35.7645	-117.6037	3.2
34.0757	-117.7903	2.3
34.0783	-117.7903	2.1
37.9443	-122.0612	2.9
36.8313	-113.7157	2.2
34.0768	-117.7892	2.2
34.0237	-117.2268	2.1
36.6895	-121.285	2
38.8452	-122.7635	2
38.8405	-122.8298	2
34.05	-119.3207	2.4
40.8052	-125.433	4
40.4137	-120.0225	2.2
38.807	-122.814	2.2
37.5097	-118.6333	2.3
40.3138	-124.8638	2.6
36.5747	-121.0338	2.6
36.1188	-117.6933	2.8
40.262	-124.2912	3.2
34.2948	-118.4728	2.5
32.9048	-115.9553	2.4
40.4163	-124.9773	2.4
40.1697	-121.0518	2
34.3013	-116.8413	2.2
37.0475	-112.6155	2.2
35.5222	-120.8132	2.3
32.977	-109.4408	2.9
33.1768	-109.3851	2.5
40.1702	-121.0683	2.2
39.6188	-111.4907	2
38.8182	-122.7993	2.5
37.3732	-118.5765	2
37.3643	-118.5762	3.3
32.8767	-116.2462	2.8
35.6487	-119.9645	2.4
38.7877	-122.7438	2.2
37.5155	-121.885	2.5
40.7612	-122.3155	2
35.0777	-116.3653	2
31.7407	-114.9922	3.1
32.9955	-116.2373	2.1
36.1152	-117.6957	2
33.5047	-116.475	2.3
39.4935	-120.2703	2
33.0543	-115.5602	2.6
35.9575	-115.1873	2.5
38.7222	-119.623	2.5
38.7233	-119.6177	2
39.2735	-123.4328	2
36.4668	-121.044	2.1
40.2943	-124.5003	2.6
40.442	-124.6685	2.7
36.1145	-117.6955	2.3
36.1185	-117.6962	2
33.2922	-116.4223	3.2
37.5128	-118.8687	2.3
45.305	-121.749	2
40.4457	-124.3878	2.4
32.5772	-115.6797	2.2
40.4557	-124.3968	2.1
31.7322	-115.0433	3.1
34.1602	-116.4215	2.1
31.6093	-115.9843	2.3
36.2228	-120.7867	2
36.5437	-121.0977	2.1
42.8399	-126.7683	2.6
40.4477	-116.9996	2.9
44.2461	-114.0728	2.2
40.2997	-121.689	2
35.8935	-119.9762	2.1
40.3752	-124.47	2.4
38.7872	-122.764	2.4
44.3695	-113.9936	2.3
38.8222	-122.8073	2
32.5025	-115.6525	2.2
31.7278	-115.0445	2.7
37.3652	-121.7227	2.5
31.908	-117.1173	2.2
44.25	-114.08	2.7
37.4618	-118.8435	2.3
38.8357	-122.8107	2.2
40.189	-121.0443	2.8
37.637	-118.9398	2
39.5572	-121.5318	2.2
41.0515	-125.428	2.5
38.8347	-122.88	2.9
38.8323	-122.8768	2.5
35.6092	-121.361	2.2
38.7838	-122.7438	2.1
40.554	-122.243	2.8
37.7723	-122.6235	2.2
31.785	-114.979	2.7
31.7255	-115.0247	3
40.346	-121.9323	2.1
32.1523	-116.7857	2.9
38.8122	-122.7883	2.6
40.157	-121.0625	2.2
34.5832	-116.8048	2.5
40.1567	-121.063	2.3
40.3907	-124.6515	3
44.1083	-113.8963	2.3
35.9135	-119.8817	2
38.4195	-122.4492	2.2
36.2087	-117.8898	2
36.2087	-117.8902	2.7
31.5907	-115.339	2.5
37.6388	-118.939	3.1
38.4743	-119.6177	2.4
40.2965	-124.6883	2
34.0318	-117.2477	2.8
36.586	-121.0585	2
34.066	-117.2693	2.1
40.2192	-121.1023	2.5
39.0807	-115.5021	3.84
39.9403	-120.4155	2.3
